"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Id_Category","Outlet_Age","Item_MRP_clusters","sommes_num","Qty_Vente","MrpParUnite","Visi_plus_MRP","Visi_fois_MRP","MRP_plus_Weight","MRP_fois_Weight","Outlet_Ranking","Sum_of_ordinals","ItemAvgMRPmap","produit_num"
"69","DRH37",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,"OUT045","2002","Small","Tier 2","Supermarket Type1",2302.3364,"DR",19,"3",182.494300756,13.9660302597593,54.9508666666667,164.894300756,6.8744780485656,182.4526,2901.40576,8,6045.24467130459,9.35014772727273,2.60432331786066e+27
"70","NCI17",8.645,"Non Edible",0.143422643,"Health and Hygiene",95.841,"OUT046","1997","Small","Tier 1","Supermarket Type1",2027.361,"NC",24,"1",104.629422643,21.1533790340251,31.947,95.984422643,13.745769527763,104.486,828.545445,9,3384.51017288252,11.128706381338,1.72488827564963e+26
"71","FDJ58",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"OUT046","1997","Small","Tier 1","Supermarket Type1",3435.528,"FD",24,"3",185.881696072,20.1880401747833,56.7254666666667,170.281696072,17.9189064671008,185.7764,2654.75184,9,6972.28165631975,11.0298974358974,1.31830362271756e+29
"72","FDL12",15.85,"Regular",0.121531501,"Baking Goods",59.222,"OUT013","1987","High","Tier 3","Supermarket Type1",599.22,"FD",34,"4",75.193531501,10.1181993178211,59.222,59.343531501,7.197338552222,75.072,938.6687,2,1955.12663816489,3.78624605678233,1.43564562922632e+24
"73","FDH35",18.25,"Low Fat",0.06536386175,"Starchy Foods",164.7526,"OUT045","2002","Small","Tier 2","Supermarket Type1",4604.6728,"FD",19,"3",183.06796386175,27.9490144616838,54.9175333333333,164.81796386175,10.768866169353,183.0026,3006.73495,8,8473.50790988831,9.02388675799087,6.30616039151321e+28
"74","FDG02",7.855,"Low Fat",0.011324862,"Canned",189.6188,"OUT017","2007","Small","Tier 2","Supermarket Type1",2285.0256,"FD",14,"3",197.485124862,12.0506278913272,63.2062666666667,189.630124862,2.1474067426056,197.4738,1489.455674,3,4661.91503153961,24.2049536742344,2.30294396962878e+24
"75","NCZ18",7.825,"Non Edible",0.186357148,"Household",254.3698,"OUT049","1999","Medium","Tier 1","Supermarket Type1",5580.7356,"NC",22,"2",262.381157148,21.9394582218487,127.1849,254.556157148,47.4036304653304,262.1948,1990.443685,10,8860.69014696228,32.4405850195243,7.05124937198302e+30
"76","FDC29",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"OUT046","1997","Small","Tier 1","Supermarket Type1",2290.352,"FD",24,"1",122.431805661,20.0877057577076,38.0058666666667,114.041805661,2.7598713736336,122.4076,956.607664,9,3839.7434159378,13.5986412395709,3.52100739707849e+24
"77","FDQ10",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1207.0954,"FD",22,"3",185.225430816,7.00406168657473,86.1711,172.375430816,5.7270719372352,185.1922,2214.59727,10,4303.92364287341,13.3582343277129,2.79782305735284e+26
"78","FDN48",13.35,"Low Fat",0.113720344,"Baking Goods",89.9804,"OUT019","1985","Small","Tier 1","Grocery Store",643.1628,"FD",36,"1",103.444120344,7.14780996750403,29.9934666666667,90.094120344,10.2326020412576,103.3304,1201.23834,5,2353.06966664383,6.87343820224719,1.32678149402874e+25
"79","FDL04",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,"OUT017","2007","Small","Tier 2","Supermarket Type1",1587.933,"FD",14,"1",124.074756507,15.1286177309546,34.9874,105.074756507,11.8141785990354,123.9622,1994.2818,3,4162.58259599099,5.55882923976608,2.85364445278824e+26
"80","FDV25",5.905,"Low Fat",0.049968045375,"Canned",222.5456,"OUT045","2002","Small","Tier 2","Supermarket Type1",5305.0944,"FD",19,"2",228.500568045375,23.8382353998461,74.1818666666667,222.595568045375,11.1201686388066,228.4506,1314.131768,8,7677.66377219476,37.5371229654718,8.05133689939356e+27
"81","FDD58",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"OUT046","1997","Small","Tier 1","Supermarket Type1",1697.79,"FD",24,"1",109.689352241,16.666241287916,33.9566666666667,101.929352241,6.04621279067,109.63,790.5112,9,3026.18830309941,12.8634020618557,7.99745133276182e+24
"82","FDN04",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,"OUT046","1997","Small","Tier 1","Supermarket Type1",1427.4752,"FD",24,"3",192.148487057,7.915712143662,60.1114666666667,180.348487057,2.5403809718608,192.1344,2127.94592,9,4436.74885528279,15.1607542372881,2.09099327892187e+25
"83","FDV45",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,"OUT018","2009","Medium","Tier 3","Supermarket Type2",4693.89,"FD",12,"3",204.750830944,24.9733979727127,93.9778,188.000830944,8.5014092180864,204.7056,3148.2563,4,8809.3598492788,11.2053094527363,1.99463578795532e+28
"84","NCL18",18.85,"Non Edible",0.167739930375,"Household",194.6136,"OUT019","1985","Small","Tier 1","Grocery Store",583.2408,"NC",36,"3",213.631339930375,2.99691696777615,64.8712,194.781339930375,32.6444717140281,213.4636,3668.46636,5,5255.90700609087,10.2895514294135,4.34459406095187e+28
"85","FDR12",12.6,"Regular",0.031382044,"Baking Goods",171.3764,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3091.9752,"FD",36,"3",184.007782044,18.0420127858912,85.6882,171.407782044,5.3781417253616,183.9764,2159.34264,6,6144.85273644165,13.6354285714286,1.97316819988781e+27
"86","FDG20",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,"OUT017","2007","Small","Tier 2","Supermarket Type1",2479.4392,"FD",14,"3",192.62919886,14.0079094793981,59.0009333333333,177.12919886,22.372952136808,192.5028,2743.5434,3,6110.84037271954,11.4345892473118,2.57412526831052e+28
"87","FDZ55",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035","2004","Small","Tier 2","Supermarket Type1",2716.464,"FD",17,"3",167.072403898,16.8732856290996,53.664,161.017403898,4.089824346816,167.047,974.80656,7,4465.34110617031,26.4458298926507,1.43433473569434e+25
"88","FDQ49",20.2,"Regular",0.039057677,"Breakfast",155.963,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3285.723,"FD",36,"3",176.202057677,21.0673236600989,77.9815,156.002057677,6.091552477951,176.163,3150.4526,6,7294.91317192145,7.74767326732673,1.20326543696977e+28
"89","FDN33",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"OUT046","1997","Small","Tier 1","Supermarket Type1",661.8052,"FD",24,"1",102.071715764,6.91949278362588,31.8812,95.766715764,11.7752348857104,101.9486,603.032898,9,1766.47713361736,14.9494210943695,2.18310294907591e+24
